ts_code,symbol,name,area,industry,fullname,enname,list_date
688222.SH,688222.0,成都先导,四川,化学制药,成都先导药物开发股份有限公司,HitGen Inc.,2020-04-16
688223.SH,688223.0,晶科能源,江西,电气设备,晶科能源股份有限公司,"Jinko Solar Co., Ltd.",2022-01-26
688225.SH,688225.0,亚信安全,江苏,软件服务,亚信安全科技股份有限公司,"Asiainfo Security Technologies Co.,Ltd.",2022-02-09
688226.SH,688226.0,威腾电气,江苏,电气设备,威腾电气集团股份有限公司,"Wetown Electric Group Co., Ltd",2021-07-07
688227.SH,688227.0,品高股份,广东,软件服务,广州市品高软件股份有限公司,"Bingo Software Co., Ltd.",2021-12-30
688228.SH,688228.0,开普云,广东,软件服务,开普云信息科技股份有限公司,"Ucap Cloud Information Technology Co.,Ltd.",2020-03-27
688229.SH,688229.0,博睿数据,北京,软件服务,北京博睿宏远数据科技股份有限公司,"Bonree Data Technology Co., Ltd.",2020-08-17
688230.SH,688230.0,芯导科技,上海,半导体,上海芯导电子科技股份有限公司,"Shanghai Prisemi Electronics Co.,Ltd.",2021-12-01
688231.SH,688231.0,隆达股份,江苏,航空,江苏隆达超合金股份有限公司,"Jiangsu Longda Superalloy Co., Ltd.",2022-07-22
688232.SH,688232.0,新点软件,江苏,软件服务,国泰新点软件股份有限公司,"Guotai Epoint Software Co., Ltd.",2021-11-17
688233.SH,688233.0,神工股份,辽宁,半导体,锦州神工半导体股份有限公司,Thinkon Semiconductor Jinzhou Corp.,2020-02-21
688234.SH,688234.0,天岳先进,山东,半导体,山东天岳先进科技股份有限公司,"Sicc Co., Ltd.",2022-01-12
688235.SH,688235.0,百济神州-U,北京,生物制药,百济神州有限公司,"BeiGene, Ltd.",2021-12-15
688236.SH,688236.0,春立医疗,北京,医疗保健,北京市春立正达医疗器械股份有限公司,"Beijing Chunlizhengda Medical Instruments Co.,Ltd.",2021-12-30
688237.SH,688237.0,超卓航科,湖北,航空,湖北超卓航空科技股份有限公司,"Hubei Chaozhuo Aviation Technology Co., Ltd.",2022-07-01
688238.SH,688238.0,和元生物,上海,医疗保健,和元生物技术(上海)股份有限公司,"Obio Technology (Shanghai) Corp.,Ltd.",2022-03-22
688239.SH,688239.0,航宇科技,贵州,航空,贵州航宇科技发展股份有限公司,"Guizhou Aviation Technical Development Co., Ltd.",2021-07-05
688244.SH,688244.0,永信至诚,北京,软件服务,北京永信至诚科技股份有限公司,"Beijing Integrity Technology Co.,Ltd.",2022-10-19
688246.SH,688246.0,嘉和美康,北京,软件服务,嘉和美康(北京)科技股份有限公司,"Goodwill E-Health Info Co., Ltd.",2021-12-14
688247.SH,688247.0,宣泰医药,上海,化学制药,上海宣泰医药科技股份有限公司,Sinotherapeutics Inc.,2022-08-25
688248.SH,688248.0,南网科技,广东,电气设备,南方电网电力科技股份有限公司,"China Southern Power Grid Technology Co.,Ltd",2021-12-22
688249.SH,688249.0,晶合集成,安徽,半导体,合肥晶合集成电路股份有限公司,Nexchip Semiconductor Corporation,2023-05-05
688251.SH,688251.0,井松智能,安徽,专用机械,合肥井松智能科技股份有限公司,"Hefei Jingsong Intelligent Technology Co.,Ltd.",2022-06-06
688252.SH,688252.0,天德钰,深圳,半导体,深圳天德钰科技股份有限公司,Jadard,2022-09-27
688253.SH,688253.0,英诺特,北京,医疗保健,北京英诺特生物技术股份有限公司,"Innovita Biological Technology Co., Ltd.",2022-07-28
688255.SH,688255.0,凯尔达,浙江,机械基件,杭州凯尔达焊接机器人股份有限公司,"Hangzhou Kaierda Welding Robot Co.,Ltd.",2021-10-25
688256.SH,688256.0,寒武纪-U,北京,半导体,中科寒武纪科技股份有限公司,Cambricon Technologies Corporation Limited,2020-07-20
688257.SH,688257.0,新锐股份,江苏,机械基件,苏州新锐合金工具股份有限公司,Shareate Tools Ltd,2021-10-27
688258.SH,688258.0,卓易信息,江苏,软件服务,江苏卓易信息科技股份有限公司,"Jiangsu Eazytec Co., Ltd.",2019-12-09
688259.SH,688259.0,创耀科技,江苏,半导体,创耀(苏州)通信科技股份有限公司,Triductor Technology(Suzhou) Inc.,2022-01-12
688260.SH,688260.0,昀冢科技,江苏,元器件,苏州昀冢电子科技股份有限公司,"Suzhou Gyz Electronic Technology Co., Ltd.",2021-04-06
688261.SH,688261.0,东微半导,江苏,半导体,苏州东微半导体股份有限公司,Suzhou Oriental Semiconductor Company Limited,2022-02-10
688262.SH,688262.0,国芯科技,江苏,半导体,苏州国芯科技股份有限公司,"C*Core Technology Co., Ltd.",2022-01-06
688265.SH,688265.0,南模生物,上海,医疗保健,上海南方模式生物科技股份有限公司,"Shanghai Model Organisms Center, Inc.",2021-12-28
688266.SH,688266.0,泽璟制药-U,江苏,生物制药,苏州泽璟生物制药股份有限公司,"Suzhou Zelgen Biopharmaceuticals Co., Ltd.",2020-01-23
